dteday,cnt
2012-01-01,2294
2012-01-02,1951
2012-01-03,2236
2012-01-04,2368
2012-01-05,3272
2012-01-06,4098
2012-01-07,4521
2012-01-08,3425
2012-01-09,2376
2012-01-10,3598
2012-01-11,2177
2012-01-12,4097
2012-01-13,3214
2012-01-14,2493
2012-01-15,2311
2012-01-16,2298
2012-01-17,2935
2012-01-18,3376
2012-01-19,3292
2012-01-20,3163
2012-01-21,1301
2012-01-22,1977
2012-01-23,2432
2012-01-24,4339
2012-01-25,4270
2012-01-26,4075
2012-01-27,3456
2012-01-28,4023
2012-01-29,3243
2012-01-30,3624
2012-01-31,4509
2012-02-01,4579
2012-02-02,3761
2012-02-03,4151
2012-02-04,2832
2012-02-05,2947
2012-02-06,3784
2012-02-07,4375
2012-02-08,2802
2012-02-09,3830
2012-02-10,3831
2012-02-11,2169
2012-02-12,1529
2012-02-13,3422
2012-02-14,3922
2012-02-15,4169
2012-02-16,3005
2012-02-17,4154
2012-02-18,4318
2012-02-19,2689
2012-02-20,3129
2012-02-21,3777
2012-02-22,4773
2012-02-23,5062
2012-02-24,3487
2012-02-25,2732
2012-02-26,3389
2012-02-27,4322
2012-02-28,4363
2012-02-29,1834
2012-03-01,4990
2012-03-02,3194
2012-03-03,4066
2012-03-04,3423
2012-03-05,3333
2012-03-06,3956
2012-03-07,4916
2012-03-08,5382
2012-03-09,4569
2012-03-10,4118
2012-03-11,4911
2012-03-12,5298
2012-03-13,5847
2012-03-14,6312
2012-03-15,6192
2012-03-16,4378
2012-03-17,7836
2012-03-18,5892
2012-03-19,6153
2012-03-20,6093
2012-03-21,6230
2012-03-22,6871
2012-03-23,8362
2012-03-24,3372
2012-03-25,4996
2012-03-26,5558
2012-03-27,5102
2012-03-28,5698
2012-03-29,6133
2012-03-30,5459
2012-03-31,6235
2012-04-01,6041
2012-04-02,5936
2012-04-03,6772
2012-04-04,6436
2012-04-05,6457
2012-04-06,6460
2012-04-07,6857
2012-04-08,5169
2012-04-09,5585
2012-04-10,5918
2012-04-11,4862
2012-04-12,5409
2012-04-13,6398
2012-04-14,7460
2012-04-15,7132
2012-04-16,6370
2012-04-17,6691
2012-04-18,4367
2012-04-19,6565
2012-04-20,7290
2012-04-21,6624
2012-04-22,1027
2012-04-23,3214
2012-04-24,5633
2012-04-25,6196
2012-04-26,5026
2012-04-27,6233
2012-04-28,4220
2012-04-29,6304
2012-04-30,5572
2012-05-01,5740
2012-05-02,6169
